,preco,contacto do agnete,compartimento
0,"£1,300 pcm  (£300 pw)",020 3641 0802 **,1 1 1
1,"£1,695 pcm  (£391 pw)",020 8128 4969 **,3
2,"£2,150 pcm  (£496 pw)",020 8128 4969 **,3
3,"£2,076 pcm  (£479 pw)",020 3641 0534 **,2
4,"£1,000 pcm  (£231 pw)",020 8022 0212 **,2
5,£730 pcm  (£168 pw),020 3641 0802 **,1 1 1Tenancy information
6,"£1,712 pcm  (£395 pw)",020 8115 3587 **,1
7,"£2,076 pcm  (£479 pw)",020 8115 3587 **,2
8,"£1,750 pcm  (£404 pw)",020 8166 5351 **,2 1Tenancy information
9,"£2,900 pcm  (£669 pw)",020 8166 5351 **,4 2Tenancy information
10,"£2,100 pcm  (£485 pw)",020 3463 2524 **,1
11,"£1,798 pcm  (£415 pw)",020 8115 4201 **,3
12,"£1,101 pcm  (£254 pw)",020 8115 4201 **,1
13,"£2,275 pcm  (£525 pw)",020 8115 8062 **,2 2 1Tenancy information
14,"£2,145 pcm  (£495 pw)",020 8115 8064 **,1 1 1Tenancy information
15,"£1,400 pcm  (£323 pw)",020 8128 7424 **,1 1 1Tenancy information
16,£850 pcm  (£196 pw),020 3641 6746 **,1 1
17,£715 pcm  (£165 pw),020 3641 6746 **,2 2
18,£970 pcm  (£224 pw),020 3641 6746 **,1 1
19,"£1,400 pcm  (£323 pw)",020 8033 9550 **,2 1 1Tenancy information
20,£900 pcm  (£208 pw),020 3641 5922 **,Tenancy information
21,"£2,297 pcm  (£530 pw)",020 8115 2478 **,2 2 1Tenancy information
22,"£2,492 pcm  (£575 pw)",020 8115 2478 **,2 2 1Tenancy information
23,"£1,200 pcm  (£277 pw)",020 3478 3314 **,1Tenancy information
24,"£2,250 pcm  (£519 pw)",020 3463 7547 **,3 2 1Tenancy information
