paises,regioes,continentes,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
India,Southern Asia,Asia,1380004385.0,0.99,13586631.0,464.0,2973190.0,-532687.0,2.2,28.0,35.0,17.7
Pakistan,Southern Asia,Asia,220892340.0,2.0,4327022.0,287.0,770880.0,-233379.0,3.6,23.0,35.0,2.83
Bangladesh,Southern Asia,Asia,164689383.0,1.01,1643222.0,1265.0,130170.0,-369501.0,2.1,28.0,39.0,2.11
Iran,Southern Asia,Asia,83992949.0,1.3,1079043.0,52.0,1628550.0,-55000.0,2.2,32.0,76.0,1.08
Afghanistan,Southern Asia,Asia,38928346.0,2.33,886592.0,60.0,652860.0,-62920.0,4.6,18.0,25.0,0.5
Nepal,Southern Asia,Asia,29136808.0,1.85,528098.0,203.0,143350.0,41710.0,1.9,25.0,21.0,0.37
Sri Lanka,Southern Asia,Asia,21413249.0,0.42,89516.0,341.0,62710.0,-97986.0,2.2,34.0,18.0,0.27
Bhutan,Southern Asia,Asia,771608.0,1.12,8516.0,20.0,38117.0,320.0,2.0,28.0,46.0,0.01
Maldives,Southern Asia,Asia,540544.0,1.81,9591.0,1802.0,300.0,11370.0,1.9,30.0,35.0,0.01
China,Eastern Asia,Asia,1439323776.0,0.39,5540090.0,153.0,9388211.0,-348399.0,1.7,38.0,61.0,18.47
Japan,Eastern Asia,Asia,126476461.0,-0.3,-383840.0,347.0,364555.0,71560.0,1.4,48.0,92.0,1.62
South Korea,Eastern Asia,Asia,51269185.0,0.09,43877.0,527.0,97230.0,11731.0,1.1,44.0,82.0,0.66
North Korea,Eastern Asia,Asia,25778816.0,0.44,112655.0,214.0,120410.0,-5403.0,1.9,35.0,63.0,0.33
Taiwan,Eastern Asia,Asia,23816775.0,0.18,42899.0,673.0,35410.0,30001.0,1.2,42.0,79.0,0.31
Hong Kong,Eastern Asia,Asia,7496981.0,0.82,60827.0,7140.0,1050.0,29308.0,1.3,45.0,,0.1
Mongolia,Eastern Asia,Asia,3278290.0,1.65,53123.0,2.0,1553560.0,-852.0,2.9,28.0,67.0,0.04
Macao,Eastern Asia,Asia,649335.0,1.39,8890.0,21645.0,30.0,5000.0,1.2,39.0,,0.01
Indonesia,South-Eastern Asia,Asia,273523615.0,1.07,2898047.0,151.0,1811570.0,-98955.0,2.3,30.0,56.0,3.51
Philippines,South-Eastern Asia,Asia,109581078.0,1.35,1464463.0,368.0,298170.0,-67152.0,2.6,26.0,47.0,1.41
Vietnam,South-Eastern Asia,Asia,97338579.0,0.91,876473.0,314.0,310070.0,-80000.0,2.1,32.0,38.0,1.25
Thailand,South-Eastern Asia,Asia,69799978.0,0.25,174396.0,137.0,510890.0,19444.0,1.5,40.0,51.0,0.9
